seed,optimize_prior,samples,linearized_pred,kfac,diffrax,solver,pcoeff,icoeff,savefig,epochs,accuracy_MAP,nll_MAP,brier_MAP,ece_map,mce_map,accuracy_posterior,nll_posterior,brier_posterior,ece_posterior,mce_posterior,accuracy_laplace,nll_laplace,brier_laplace,ece_laplace,mce_laplace,Total_time,Exmap_time,Laplace_time,NetworkTraining_time,,pcoeff,icoeff,avg_time,avg_acc,avg_ece,avg_mce
0,False,100,False,False,True,dopri5,0.2,0.3,True,2000,86.79245,0.450937139068673,0.106169163808924,8.257479,30.275726,87.16981,0.285905464786312,0.0889297170325753,2.135723,9.401542,55.723267,0.689351439063093,0.248044490098364,1.142853,3.2296658,269.916756629944,255.292826652527,2.08760380744934,3.94377255439758,,0.2,0.3,282.328501880169,87.16981,2.385175275,9.649741875
1,False,100,False,False,True,dopri5,0.2,0.3,True,2000,85.78616,0.364801503676541,0.0994204026998473,7.2213984,33.67774,87.16981,0.291946954235064,0.0903203143968761,2.9769309,11.775184,57.735847,0.683535613873433,0.245208010621185,4.897821,4.897821,308.653599023819,304.105461835861,0.988584041595459,2.27791810035706,,0.2,0.4,292.147282898426,87.0440225,2.110755625,6.145273
2,False,100,False,False,True,dopri5,0.2,0.3,True,2000,86.41509,0.415031246907746,0.102564610772323,7.591371,18.24968,87.04402,0.286766306331033,0.0899574418567937,2.0614424,10.405988,53.710693,0.686262900489997,0.246588207427922,0.5725129,19.127237,258.276259422302,252.64182972908,1.35417127609253,2.64486265182495,,0.3,0.3,301.066049277782,87.106914,2.54049085,9.194825575
3,False,100,False,False,True,dopri5,0.2,0.3,True,2000,86.79245,0.382821845147225,0.0950778601735752,6.189186,17.384996,87.2956,0.294849704560888,0.0903080652505324,2.3666048,7.0162535,54.08805,0.693337238040645,0.250081208348644,1.2312934,10.738397,322.914222240448,317.273889303207,1.15574073791504,2.71782302856445,,0.3,0.4,305.37132191658,86.918235,2.296801575,8.153324025
0,False,100,False,False,True,dopri5,0.2,0.4,True,2000,86.79245,0.450937139068673,0.106169163808924,8.257479,30.275726,86.79245,0.289919517515968,0.0897373978435734,2.086157,8.776575,55.723267,0.689351439063093,0.248044490098364,1.142853,3.2296658,270.492418289185,264.705557346344,1.24513268470764,2.67753982543945,,0.2,0.5,310.384945273399,87.295595,2.770155225,8.212983725
1,False,100,False,False,True,dopri5,0.2,0.4,True,2000,85.78616,0.364801503676541,0.0994204026998473,7.2213984,33.67774,87.16981,0.288449458061505,0.0873607472242692,2.2317698,3.6193132,57.735847,0.683535613873433,0.245208010621185,4.897821,4.897821,312.73900604248,307.733844995499,0.94359302520752,2.22960519790649,,0.4,0.3,317.199113667011,87.295594,2.6782475,9.283954075
2,False,100,False,False,True,dopri5,0.2,0.4,True,2000,86.41509,0.415031246907746,0.102564610772323,7.591371,18.24968,87.04402,0.283160559666093,0.0881221088065198,2.9301393,10.147315,53.710693,0.686262900489997,0.246588207427922,0.5725129,19.127237,258.762856960297,253.6128885746,0.891540050506592,2.06156086921692,,0.4,0.4,319.805972099304,87.16981,2.367461375,7.88773735
3,False,100,False,False,True,dopri5,0.2,0.4,True,2000,86.79245,0.382821845147225,0.0950778601735752,6.189186,17.384996,87.16981,0.293734908502081,0.0907266903266887,1.1949564,2.0378888,54.08805,0.693337238040645,0.250081208348644,1.2312934,10.738397,348.017634153366,342.536840677261,0.911291599273682,2.30200695991516,,0.3,0.5,320.465374290943,87.1698115,2.694826575,8.2977205
0,False,100,False,False,True,dopri5,0.2,0.5,True,2000,86.79245,0.450937139068673,0.106169163808924,8.257479,30.275726,87.04402,0.290521958534511,0.089416290621874,2.2411447,11.020965,55.723267,0.689351439063093,0.248044490098364,1.142853,3.2296658,284.500041246414,278.926874399185,0.860683917999268,2.2994213104248,,0.2,0.6,322.569692313671,87.295595,2.9423637,6.23902175
1,False,100,False,False,True,dopri5,0.2,0.5,True,2000,85.78616,0.364801503676541,0.0994204026998473,7.2213984,33.67774,87.54717,0.283402974106133,0.0869408436455447,3.1255476,6.9171963,57.735847,0.683535613873433,0.245208010621185,4.897821,4.897821,342.187129735947,336.561987400055,0.865931749343872,2.03468465805054,,0.5,0.3,333.17715626955,86.9182385,2.3377922,8.615989775
2,False,100,False,False,True,dopri5,0.2,0.5,True,2000,86.41509,0.415031246907746,0.102564610772323,7.591371,18.24968,87.16981,0.296290825527876,0.0917615722015774,2.981897,10.731679,53.710693,0.686262900489997,0.246588207427922,0.5725129,19.127237,270.308725118637,263.748580217361,1.24054551124573,2.45640754699707,,0.4,0.5,335.682588160038,87.012575,3.164125925,11.1205665
3,False,100,False,False,True,dopri5,0.2,0.5,True,2000,86.79245,0.382821845147225,0.0950778601735752,6.189186,17.384996,87.42138,0.293821786143651,0.0903189418933577,2.7320316,4.1820946,54.08805,0.693337238040645,0.250081208348644,1.2312934,10.738397,368.616745710373,362.302339076996,1.10511183738709,2.17937779426575,,0.5,0.4,337.361255526543,87.26415,2.553178325,7.4506969
0,False,100,False,False,True,dopri5,0.2,0.6,True,2000,86.79245,0.450937139068673,0.106169163808924,8.257479,30.275726,87.04402,0.285757010095045,0.0892601576012891,2.8538878,10.064689,55.723267,0.689351439063093,0.248044490098364,1.142853,3.2296658,286.86317896843,280.643477201462,0.862005710601807,2.16427850723267,,0.2,0.7,342.733639657497,87.1069165,3.445094375,9.28980575
1,False,100,False,False,True,dopri5,0.2,0.6,True,2000,85.78616,0.364801503676541,0.0994204026998473,7.2213984,33.67774,87.04402,0.289635668019266,0.0886237253437318,2.530837,5.330336,57.735847,0.683535613873433,0.245208010621185,4.897821,4.897821,373.280476808548,366.999428987503,0.813860177993774,2.13683986663818,,0.6,0.3,343.577329993248,86.8238985,2.695917975,9.349707375
2,False,100,False,False,True,dopri5,0.2,0.6,True,2000,86.41509,0.415031246907746,0.102564610772323,7.591371,18.24968,87.54717,0.289905408819038,0.0888964061201485,2.883729,5.050498,53.710693,0.686262900489997,0.246588207427922,0.5725129,19.127237,288.006265878677,281.442811727524,0.906812191009522,2.11766791343689,,0.3,0.6,347.622226953506,87.389935,2.99238175,8.79979275
3,False,100,False,False,True,dopri5,0.2,0.6,True,2000,86.79245,0.382821845147225,0.0950778601735752,6.189186,17.384996,87.54717,0.292370117219336,0.0887759361102177,3.501001,4.510564,54.08805,0.693337238040645,0.250081208348644,1.2312934,10.738397,368.127889633179,361.193051338196,0.982599020004272,2.11352872848511,,0.6,0.4,353.665859818459,87.0754685,2.677448975,9.56738525
