seed,optimize_prior,samples,linearized_pred,kfac,diffrax,solver,savefig,epochs,accuracy_MAP,nll_MAP,brier_MAP,ece_map,mce_map,accuracy_posterior,nll_posterior,brier_posterior,ece_posterior,mce_posterior,accuracy_laplace,nll_laplace,brier_laplace,ece_laplace,mce_laplace,Total_time,Exmap_time,Laplace_time,NetworkTraining_time,
2,False,100,False,True,True,bosh3,True,2000,86.41509,0.415031246907746,0.102564610772323,7.591371,18.24968,87.04402,0.345902541897889,0.10216408238976,9.522365,12.223744,53.710693,0.686262900489997,0.246588207427922,0.5725129,19.127237,34.2775237560272,28.4663081169128,1.10206413269043,2.12692499160767,
3,False,100,False,True,True,bosh3,True,2000,86.79245,0.382821845147225,0.0950778601735752,6.189186,17.384996,87.04402,0.344228421991828,0.102105188162371,9.4400215,14.30757,54.08805,0.693337238040645,0.250081208348644,1.2312934,10.738397,35.5408461093903,29.9011883735657,0.812396049499512,2.05981040000916,
0,False,100,False,True,True,dopri5,True,2000,86.79245,0.450937139068673,0.106169163808924,8.257479,30.275726,88.05031,0.347166364440022,0.10268986809762,10.683085,16.207695,55.723267,0.689351439063093,0.248044490098364,1.142853,3.2296658,34.6089870929718,22.5133602619171,1.60128235816956,3.39967584609985,"pcoeff=0.4, icoeff=1.0, dcoeff=0.0"
1,False,100,False,True,True,dopri5,True,2000,85.78616,0.364801503676541,0.0994204026998473,7.2213984,33.67774,87.92453,0.344448999305549,0.101662482368329,10.265099,12.652272,57.735847,0.683535613873433,0.245208010621185,4.897821,4.897821,24.6072227954865,20.9616730213165,0.730194091796875,1.93984770774841,dopri5 avg
2,False,100,False,True,True,dopri5,True,2000,86.41509,0.415031246907746,0.102564610772323,7.591371,18.24968,86.918236,0.346274754068134,0.102642175159857,9.231044,13.182587,53.710693,0.686262900489997,0.246588207427922,0.5725129,19.127237,25.2101616859436,21.3458251953125,0.785151481628418,1.90965461730957,22.2558912038803
3,False,100,False,True,True,dopri5,True,2000,86.79245,0.382821845147225,0.0950778601735752,6.189186,17.384996,86.28931,0.345931198270449,0.103319820270109,8.793487,12.676191,54.08805,0.693337238040645,0.250081208348644,1.2312934,10.738397,27.1143655776978,23.0337266921997,0.858311414718628,1.90800595283508,tsit5 avg
0,False,100,False,True,True,tsit5,True,2000,86.79245,0.450937139068673,0.106169163808924,8.257479,30.275726,87.54717,0.349638287962967,0.103281995274433,10.285248,14.23952,55.723267,0.689351439063093,0.248044490098364,1.142853,3.2296658,32.4978873729706,28.3471879959106,0.754332304000855,1.88711714744568,27.5890323221683
1,False,100,False,True,True,tsit5,True,2000,85.78616,0.364801503676541,0.0994204026998473,7.2213984,33.67774,87.04402,0.347179965513569,0.102874389988631,9.237369,14.948374,57.735847,0.683535613873433,0.245208010621185,4.897821,4.897821,32.1653842926025,27.7310552597046,0.847183704376221,1.89798378944397,bosh5 avg
2,False,100,False,True,True,tsit5,True,2000,86.41509,0.415031246907746,0.102564610772323,7.591371,18.24968,87.16981,0.346999893856022,0.102636230598076,10.0439005,12.824476,53.710693,0.686262900489997,0.246588207427922,0.5725129,19.127237,32.2135980129242,27.6571724414825,0.792222738265991,1.92176866531372,28.1118248530797
3,False,100,False,True,True,tsit5,True,2000,86.79245,0.382821845147225,0.0950778601735752,6.189186,17.384996,87.04402,0.34689499829511,0.103582859973378,9.360798,13.3898735,54.08805,0.693337238040645,0.250081208348644,1.2312934,10.738397,34.7886874675751,29.8837177753448,0.953200101852417,1.92702651023865,
0,False,100,False,True,True,bosh3,True,2000,86.79245,0.450937139068673,0.106169163808924,8.257479,30.275726,87.79874,0.349091433202678,0.102807254214175,10.786541,15.4778185,55.723267,0.689351439063093,0.248044490098364,1.142853,3.2296658,36.8017461299896,31.63192486763,0.813805818557739,2.15368366241455,
1,False,100,False,True,True,bosh3,True,2000,85.78616,0.364801503676541,0.0994204026998473,7.2213984,33.67774,87.04402,0.342276474197925,0.101332771661863,8.989211,15.710115,57.735847,0.683535613873433,0.245208010621185,4.897821,4.897821,35.2914941310883,30.101553440094,0.851228475570679,1.967604637146,
2,False,100,False,True,True,bosh3,True,2000,86.41509,0.415031246907746,0.102564610772323,7.591371,18.24968,87.42138,0.345918974222467,0.102245147772846,9.977173,12.066566,53.710693,0.686262900489997,0.246588207427922,0.5725129,19.127237,35.6152586936951,30.1635911464691,0.946650505065918,1.93551969528198,
3,False,100,False,True,True,bosh3,True,2000,86.79245,0.382821845147225,0.0950778601735752,6.189186,17.384996,87.92453,0.343064837627033,0.10165006995048,10.30235,14.61032,54.08805,0.693337238040645,0.250081208348644,1.2312934,10.738397,36.9647264480591,31.3970119953156,0.900145530700684,1.95075392723084,
0,False,100,False,True,True,dopri5,True,2000,86.79245,0.450937139068673,0.106169163808924,8.257479,30.275726,87.2956,0.347092285189517,0.103003980915206,9.949671,15.105897,55.723267,0.689351439063093,0.248044490098364,1.142853,3.2296658,31.3282895088196,20.2044248580933,1.76982355117798,3.41318583488464,"pcoeff=0.4, icoeff=0.3, dcoeff=0.0"
1,False,100,False,True,True,dopri5,True,2000,85.78616,0.364801503676541,0.0994204026998473,7.2213984,33.67774,88.05031,0.34395386733958,0.101462641576747,10.27091,14.233213,57.735847,0.683535613873433,0.245208010621185,4.897821,4.897821,22.6342196464539,18.8049991130829,0.907402038574219,1.93271589279175,dopri5 avg
2,False,100,False,True,True,dopri5,True,2000,86.41509,0.415031246907746,0.102564610772323,7.591371,18.24968,87.42138,0.338063873214204,0.0995786000974961,9.491697,12.588257,53.710693,0.686262900489997,0.246588207427922,0.5725129,19.127237,23.3353042602539,19.3363468647003,0.885334014892578,1.93364000320435,21.0896791815758
