seed,optimize_prior,samples,linearized_pred,kfac,diffrax,solver,pcoeff,icoeff,savefig,epochs,accuracy_MAP,nll_MAP,brier_MAP,ece_map,mce_map,accuracy_posterior,nll_posterior,brier_posterior,ece_posterior,mce_posterior,accuracy_laplace,nll_laplace,brier_laplace,ece_laplace,mce_laplace,Total_time,Exmap_time,Laplace_time,NetworkTraining_time
0,False,100,False,False,True,dopri5,0.2,0.4,True,2000,86.79245,0.450937139068673,0.106169163808924,8.257479,30.275726,86.918236,0.286820645860991,0.0894719098950015,2.1198518,7.755795,55.723267,0.689351439063093,0.248044490098364,1.142853,3.2296658,265.602854967117,259.734238862991,1.07738876342773,2.08663868904114
1,False,100,False,False,True,dopri5,0.2,0.4,True,2000,85.78616,0.364801503676541,0.0994204026998473,7.2213984,33.67774,87.67296,0.282185489630211,0.0864287101190646,2.7092505,8.862358,57.735847,0.683535613873433,0.245208010621185,4.897821,4.897821,316.463939428329,310.496992826462,0.892080783843994,2.17665410041809
2,False,100,False,False,True,dopri5,0.2,0.4,True,2000,86.41509,0.415031246907746,0.102564610772323,7.591371,18.24968,87.54717,0.29253665157041,0.0898406073259085,2.2010503,5.2081466,53.710693,0.686262900489997,0.246588207427922,0.5725129,19.127237,265.09615945816,258.374039411545,1.04708480834961,2.40774822235107
3,False,100,False,False,True,dopri5,0.2,0.4,True,2000,86.79245,0.382821845147225,0.0950778601735752,6.189186,17.384996,87.04402,0.292595684728365,0.0914872513174658,2.528343,6.2060595,54.08805,0.693337238040645,0.250081208348644,1.2312934,10.738397,336.732128143311,330.099518537521,0.993748903274536,2.24688100814819
4,False,100,False,False,True,dopri5,0.2,0.4,True,2000,86.28931,0.57855710347942,0.113791522379906,9.6567545,27.610434,87.04402,0.288698089089725,0.0913798714658681,3.9280138,13.261568,50.18868,0.696459139068649,0.251646340080021,2.5089145,2.5089145,233.799405097961,227.378676176071,0.961482048034668,2.07732439041138
5,False,100,False,False,True,dopri5,0.2,0.4,True,2000,86.28931,0.444357914970821,0.102975316516931,7.381802,18.795807,87.04402,0.293483192820843,0.0903551040630913,2.9279985,5.35664,53.96226,0.68708606396019,0.246946475752439,2.2778962,23.42747,329.761693716049,323.076401233673,1.05482816696167,2.14167428016663
6,False,100,False,False,True,dopri5,0.2,0.4,True,2000,87.04402,0.374678803551813,0.0970559630002234,7.9240904,28.59435,87.42138,0.295097456961864,0.0908141459695587,3.2498307,7.4298143,61.00629,0.678930646584106,0.242920488563115,7.7277074,7.7587547,303.251637220383,296.458854913712,0.909035444259644,1.99125099182129
7,False,100,False,False,True,dopri5,0.2,0.4,True,2000,86.54088,0.375502447857519,0.0993167501414034,7.5385423,25.82436,87.92453,0.281798799404554,0.0877168493982184,3.6534264,10.436487,52.07547,0.704637867669851,0.255649022076444,3.6137893,24.58246,285.897692680359,278.393649339676,1.02227401733398,2.19946646690369
8,False,100,False,False,True,dopri5,0.2,0.4,True,2000,86.666664,0.382535284141313,0.0983648318629062,7.358122,23.21313,87.16981,0.295625462982728,0.0899517682423674,1.887344,4.971796,49.43396,0.697946044026523,0.252370349030279,4.1654077,21.098228,238.999809265137,231.853330612183,0.915244579315186,2.19313383102417
9,False,100,False,False,True,dopri5,0.2,0.4,True,2000,86.037735,0.39436460573853,0.101135788049477,8.002257,26.90462,86.79245,0.298348859044691,0.09253129043758,2.7560978,9.141541,50.31446,0.691453143861821,0.249178509930215,5.995695,14.793772,218.337449789047,211.312641143799,0.798506021499634,2.05350375175476
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Avg_0.2_0.3,Avg_0.2_0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,267.130991721153,272.717834305763,,,,,,,,,,,,,,,,,,,,,,,,,,,
