seed,optimize_prior,batch_data,structure,subset,samples,linearized_pred,expmap_different_batches,test_all,save_fig,accuracy_MAP,nll_MAP,brier_MAP,ece_MAP,mce_MAP,accuracy_OURS,nll_OURS,brier_OURS,ece_OURS,mce_OURS,accuracy_LA,nll_LA,brier_LA,ece_LA,mce_LA,Total_time,Expmap_time,Laplace_time,NetworkTraining_time
282,False,False,full,all,100,False,False,False,True,87.67295597484276,0.32396022527540314,0.08960314029825062,tensor(4.8471),tensor(13.2600),87.16981132075472,0.28929937251034643,0.08790462396023813,tensor(2.2316),tensor(11.4471),41.88679245283019,0.7082027952626067,0.25746047167483577,tensor(11.2546),tensor(62.0304),1611.1632778644562,1597.579463481903,0.005905628204345703,12.752079963684082
251,True,False,full,all,100,True,False,False,True,87.29559748427673,0.3185424603951757,0.09147259955950629,tensor(4.6724),tensor(16.4263),87.79874213836479,0.5331558503724829,0.101084228456289,tensor(7.7239),tensor(19.1866),87.54716981132076,0.3143917561139701,0.09262439627835964,tensor(4.7456),tensor(7.5361),1073.9241597652435,1059.5278413295746,0.0059223175048828125,12.919717788696289
251,True,False,full,all,100,False,False,False,True,87.29559748427673,0.3185424603951757,0.09147259955950629,tensor(4.6724),tensor(16.4263),87.42138364779875,0.2694028826532944,0.08306823713265055,tensor(1.8886),tensor(12.8649),69.81132075471697,0.6590495525291131,0.2331020449265891,tensor(15.9682),tensor(38.4252),838.5057973861694,824.8437213897705,0.005777120590209961,12.65361475944519
251,False,False,full,all,100,True,False,False,True,87.29559748427673,0.3185424603951757,0.09147259955950629,tensor(4.6724),tensor(16.4263),85.9119496855346,0.8677681023555348,0.11584283240115559,tensor(10.0563),tensor(24.4338),87.79874213836479,0.37122718807099,0.10787490472527808,tensor(10.9091),tensor(19.2464),1825.1457467079163,1811.1672167778015,0.0059413909912109375,12.766103506088257
251,False,False,full,all,100,False,False,False,True,87.29559748427673,0.3185424603951757,0.09147259955950629,tensor(4.6724),tensor(16.4263),87.67295597484276,0.28270800825436865,0.08611170999344216,tensor(2.3843),tensor(7.2931),53.459119496855344,0.6963823792319628,0.2515375571420013,tensor(2.5357),tensor(35.3033),880.5458118915558,867.1277289390564,0.005953788757324219,12.670085430145264
229,True,False,full,all,100,True,False,False,True,87.29559748427673,0.3177415667861228,0.09031171962230733,tensor(5.7960),tensor(23.7402),86.66666666666667,0.41214279156932215,0.09781714521354505,tensor(7.5025),tensor(26.7499),87.42138364779875,0.33269757346349693,0.09702962472453552,tensor(6.6510),tensor(9.9602),1045.8921797275543,1031.666217327118,0.005819797515869141,12.738287210464478
229,True,False,full,all,100,False,False,False,True,87.29559748427673,0.3177415667861228,0.09031171962230733,tensor(5.7960),tensor(23.7402),87.67295597484276,0.2720714972032316,0.08506790989238591,tensor(2.3509),tensor(13.7546),61.886792452830186,0.6770474149745965,0.2419740453964678,tensor(8.2897),tensor(8.4170),904.7973837852478,890.9490540027618,0.0057735443115234375,12.823573350906372
229,False,False,full,all,100,True,False,False,True,87.29559748427673,0.3177415667861228,0.09031171962230733,tensor(5.7960),tensor(23.7402),86.16352201257862,0.9108277984917066,0.12019454191462889,tensor(10.2442),tensor(36.4860),87.54716981132076,0.41952299545021177,0.12403269319744631,tensor(15.3052),tensor(24.0560),1965.5011208057404,1951.4997189044952,0.005863666534423828,12.72500228881836
229,False,False,full,all,100,False,False,False,True,87.29559748427673,0.3177415667861228,0.09031171962230733,tensor(5.7960),tensor(23.7402),87.54716981132076,0.28741334601709584,0.087778362915549,tensor(3.6218),tensor(6.4148),35.34591194968553,0.7238274884673784,0.2652512658429762,tensor(17.8447),tensor(26.8842),907.0203938484192,893.3716766834259,0.00591588020324707,12.814011096954346
143,True,False,full,all,100,True,False,False,True,87.29559748427673,0.35846424596226656,0.08939289716591807,tensor(5.2677),tensor(18.6656),87.42138364779875,0.4805265715580065,0.098582915122388,tensor(6.5777),tensor(23.7351),87.16981132075472,0.34181659854714225,0.09787311584183342,tensor(9.2313),tensor(13.3067),1122.7710919380188,1108.7450625896454,0.0057370662689208984,12.555500268936157
