seed,optimize_prior,samples,linearized_pred,kfac,diffrax,solver,pcoeff,icoeff,savefig,epochs,accuracy_MAP,nll_MAP,brier_MAP,ece_map,mce_map,accuracy_posterior,nll_posterior,brier_posterior,ece_posterior,mce_posterior,accuracy_laplace,nll_laplace,brier_laplace,ece_laplace,mce_laplace,Total_time,Exmap_time,Laplace_time,NetworkTraining_time
0,False,100,False,False,True,tsit5,0.2,0.3,True,2000,86.79245,0.450937139068673,0.106169163808924,8.257479,30.275726,87.04402,0.333291199361633,0.0978848226489686,5.6233177,20.114141,55.723267,0.689351439063093,0.248044490098364,1.142853,3.2296658,452.931366205215,447.342593669891,0.928803205490112,1.98740267753601
1,False,100,False,False,True,tsit5,0.2,0.3,True,2000,85.78616,0.364801503676541,0.0994204026998473,7.2213984,33.67774,86.16352,0.317660987490244,0.0955242472692401,4.9424295,19.880104,57.735847,0.683535613873433,0.245208010621185,4.897821,4.897821,538.943681716919,531.993523836136,0.920601367950439,2.17519545555115
2,False,100,False,False,True,tsit5,0.2,0.3,True,2000,86.41509,0.415031246907746,0.102564610772323,7.591371,18.24968,86.79245,0.329447077252167,0.0979953746682152,5.539023,17.456383,53.710693,0.686262900489997,0.246588207427922,0.5725129,19.127237,479.686465263367,471.957253456116,1.22635722160339,2.83067083358765
3,False,100,False,False,True,tsit5,0.2,0.3,True,2000,86.79245,0.382821845147225,0.0950778601735752,6.189186,17.384996,87.04402,0.316706409369772,0.0960355347120204,4.094719,19.474607,54.08805,0.693337238040645,0.250081208348644,1.2312934,10.738397,560.916992664337,553.126271724701,1.24391508102417,2.76916432380676
4,False,100,False,False,True,tsit5,0.2,0.3,True,2000,86.28931,0.57855710347942,0.113791522379906,9.6567545,27.610434,87.16981,0.344939664205819,0.100243270178183,5.8059497,12.973738,50.18868,0.696459139068649,0.251646340080021,2.5089145,2.5089145,372.501900196075,365.12446975708,1.19229388237,2.64578557014465
5,False,100,False,False,True,tsit5,0.2,0.3,True,2000,86.28931,0.444357914970821,0.102975316516931,7.381802,18.795807,86.41509,0.328754612973553,0.0972072927765713,4.7192893,21.74856,53.96226,0.68708606396019,0.246946475752439,2.2778962,23.42747,584.37841463089,577.506382703781,0.783701181411743,2.15992975234985
6,False,100,False,False,True,tsit5,0.2,0.3,True,2000,87.04402,0.374678803551813,0.0970559630002234,7.9240904,28.59435,86.918236,0.338982577388702,0.0973556737550863,5.1489353,15.047396,61.00629,0.678930646584106,0.242920488563115,7.7277074,7.7587547,526.758525133133,518.833147764206,1.0602171421051,2.89810013771057
7,False,100,False,False,True,tsit5,0.2,0.3,True,2000,86.54088,0.375502447857519,0.0993167501414034,7.5385423,25.82436,86.918236,0.328455756834187,0.0975403223766808,5.109691,16.070366,52.07547,0.704637867669851,0.255649022076444,3.6137893,24.58246,507.355139970779,500.122610092163,0.934187173843384,2.44245338439941
8,False,100,False,False,True,tsit5,0.2,0.3,True,2000,86.666664,0.382535284141313,0.0983648318629062,7.358122,23.21313,86.918236,0.334944831300462,0.0969915272872704,5.24472,10.882655,49.43396,0.697946044026523,0.252370349030279,4.1654077,21.098228,423.275942087173,416.278221607208,0.80351710319519,2.18368792533875
9,False,100,False,False,True,tsit5,0.2,0.3,True,2000,86.037735,0.39436460573853,0.101135788049477,8.002257,26.90462,87.04402,0.345521553863528,0.0991250638913332,5.807892,15.721172,50.31446,0.691453143861821,0.249178509930215,5.995695,14.793772,409.899747610092,402.764571666718,0.690262317657471,1.97200775146484
0,False,100,False,False,True,bosh3,0.2,0.3,True,2000,86.79245,0.450937139068673,0.106169163808924,8.257479,30.275726,86.41509,0.367376788482648,0.0993453972764504,5.9475083,16.81617,55.723267,0.689351439063093,0.248044490098364,1.142853,3.2296658,437.169330120087,429.681978702545,0.878940582275391,2.23427963256836
1,False,100,False,False,True,bosh3,0.2,0.3,True,2000,85.78616,0.364801503676541,0.0994204026998473,7.2213984,33.67774,86.666664,0.351312553239002,0.0983629803949712,5.1789274,11.052352,57.735847,0.683535613873433,0.245208010621185,4.897821,4.897821,562.83789396286,555.394037008286,0.838394641876221,2.14693832397461
2,False,100,False,False,True,bosh3,0.2,0.3,True,2000,86.41509,0.415031246907746,0.102564610772323,7.591371,18.24968,86.79245,0.348623499500418,0.101489979201208,6.0732136,20.186264,53.710693,0.686262900489997,0.246588207427922,0.5725129,19.127237,521.733109474182,513.95426774025,0.757880687713623,2.1834511756897
3,False,100,False,False,True,bosh3,0.2,0.3,True,2000,86.79245,0.382821845147225,0.0950778601735752,6.189186,17.384996,86.918236,0.333319492557636,0.0974411436884991,5.052696,14.937663,54.08805,0.693337238040645,0.250081208348644,1.2312934,10.738397,552.654168605804,544.401116132736,0.892321825027466,2.52709913253784
